symbol,entry_time,exit_time,direction,entry_price,exit_price,pnl_abs,pnl_pct,reason,size
DOGEUSDT,2025-12-10T05:16:59.999000,2025-12-10T05:17:59.999000,LONG,0.14767,0.1474295714285714,-0.00024042857142858587,-0.0016281477038571537,hit_stop_loss_intrabar,1.0
BTCUSDT,2025-12-10T06:04:59.999000,2025-12-10T06:04:59.999000,LONG,92454.06,92400.90085714286,-53.15914285714098,-0.0005749789988361893,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-10T06:03:59.999000,2025-12-10T06:04:59.999000,SHORT,0.14665,0.14659257142857143,5.7428571428569386e-05,0.00039160294189273363,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-10T06:55:59.999000,2025-12-10T06:58:59.999000,LONG,0.14684,0.14687914285714285,3.914285714284871e-05,0.0002665680818772045,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-10T07:51:59.999000,2025-12-10T07:55:59.999000,LONG,0.14656,0.14658657142857143,2.6571428571431355e-05,0.00018130068621336897,hit_stop_loss,1.0
BTCUSDT,2025-12-10T08:35:59.999000,2025-12-10T08:41:59.999000,LONG,92590.11,92671.37357142857,81.2635714285716,0.0008776701035193888,hit_take_profit_intrabar,1.0
DOGEUSDT,2025-12-10T09:33:59.999000,2025-12-10T09:42:59.999000,LONG,0.14629,0.14654232142857143,0.00025232142857142814,0.0017248029842875667,hit_take_profit_intrabar,1.0
DOGEUSDT,2025-12-10T11:35:59.999000,2025-12-10T11:35:59.999000,SHORT,0.14566,0.14564285714285716,1.7142857142854462e-05,0.00011769090445458232,hit_stop_loss_intrabar,1.0
ETHUSDT,2025-12-10T11:37:59.999000,2025-12-10T11:39:59.999000,LONG,3308.38,3309.7522857142853,1.3722857142852263,0.0004147908385025983,hit_stop_loss,1.0
DOGEUSDT,2025-12-10T12:58:59.999000,2025-12-10T13:08:59.999000,LONG,0.14578,0.145858,7.799999999999474e-05,0.0005350528193167427,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-10T14:10:59.999000,2025-12-10T14:15:59.999000,SHORT,0.14575,0.14563542857142858,0.00011457142857140834,0.0007860818426854775,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-10T14:26:59.999000,2025-12-10T14:30:59.999000,SHORT,0.14544,0.14542685714285714,1.3142857142878217e-05,9.036617947523526e-05,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-11T04:48:59.999000,2025-12-11T04:49:59.999000,LONG,0.13834,0.138448,0.00010799999999999699,0.0007806852681798251,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-11T05:14:59.999000,2025-12-11T05:22:59.999000,SHORT,0.13836,0.13854257142857143,-0.00018257142857142084,-0.0013195390905711248,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-11T05:37:59.999000,2025-12-11T05:50:59.999000,LONG,0.13881,0.13900125,0.00019125000000000392,0.0013777825805057556,hit_take_profit_intrabar,1.0
SOLUSDT,2025-12-11T08:11:59.999000,2025-12-11T08:17:59.999000,LONG,130.57,130.90910714285715,0.33910714285715926,0.0025971290714341677,hit_take_profit_intrabar,1.0
DOGEUSDT,2025-12-11T09:29:59.999000,2025-12-11T09:30:59.999000,LONG,0.13804,0.13808685714285715,4.685714285715403e-05,0.00033944612327697796,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-11T11:34:59.999000,2025-12-11T11:37:59.999000,LONG,0.13829,0.1382937142857143,3.714285714301324e-06,2.685867173549298e-05,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-11T11:53:59.999000,2025-12-11T12:00:59.999000,SHORT,0.13806,0.137992,6.799999999998474e-05,0.0004925394755902126,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-11T12:30:59.999000,2025-12-11T12:32:59.999000,LONG,0.13785,0.13791457142857144,6.45714285714416e-05,0.0004684180527489416,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-11T13:30:59.999000,2025-12-11T13:33:59.999000,LONG,0.13804,0.1378227142857143,-0.00021728571428569765,-0.0015740779070247584,hit_stop_loss,1.0
DOGEUSDT,2025-12-11T13:35:59.999000,2025-12-11T13:39:59.999000,LONG,0.13796,0.13800057142857144,4.0571428571445356e-05,0.0002940811001119553,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-11T18:16:59.999000,2025-12-11T18:17:59.999000,LONG,0.13764,0.13767085714285715,3.085714285713803e-05,0.00022418732096147944,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-11T18:20:59.999000,2025-12-11T18:23:59.999000,LONG,0.1377,0.1374685714285714,-0.00023142857142857687,-0.0016806722689076026,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-12T02:12:59.999000,2025-12-12T02:13:59.999000,LONG,0.14071,0.14088114285714284,0.00017114285714284194,0.001216280698904427,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-12T04:03:59.999000,2025-12-12T04:04:59.999000,SHORT,0.14049,0.14064814285714286,-0.0001581428571428567,-0.0011256520545437874,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-12T04:12:59.999000,2025-12-12T04:23:59.999000,SHORT,0.14033,0.1402697142857143,6.028571428570717e-05,0.0004295996172287263,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-12T04:59:59.999000,2025-12-12T05:01:59.999000,SHORT,0.14023,0.14037014285714286,-0.00014014285714286645,-0.0009993785719380052,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-12T05:20:59.999000,2025-12-12T05:22:59.999000,SHORT,0.14024,0.1400375,0.00020249999999999435,0.0014439532230461662,hit_take_profit_intrabar,1.0
DOGEUSDT,2025-12-12T07:04:59.999000,2025-12-12T07:05:59.999000,LONG,0.1409,0.14078942857142857,-0.0001105714285714321,-0.0007847510899320944,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-12T08:54:59.999000,2025-12-12T09:01:59.999000,LONG,0.14036,0.14041714285714285,5.7142857142838954e-05,0.00040711639457708,hit_stop_loss,1.0
DOGEUSDT,2025-12-12T09:19:59.999000,2025-12-12T09:22:59.999000,LONG,0.14055,0.14042785714285716,-0.00012214285714284845,-0.0008690349138587581,hit_stop_loss,1.0
DOGEUSDT,2025-12-12T09:50:59.999000,2025-12-12T09:50:59.999000,LONG,0.14062,0.14047214285714285,-0.00014785714285714402,-0.0010514659568848245,hit_stop_loss_intrabar,1.0
DOGEUSDT,2025-12-12T10:53:59.999000,2025-12-12T11:00:59.999000,LONG,0.14114,0.14100242857142856,-0.00013757142857143134,-0.0009747160873702094,hit_stop_loss_intrabar,1.0
